model,freeze,head_type,subset_ratio,pct_data,seed,n_train,f1,auroc,clip_f1,clip_auroc,run_id
efficientnetb0,finetune,linear,0.5,50,256,4099,0.695,0.921,0.695,0.921,882e3f88c21643db8548e901a9593717
vits16_imagenet,finetune,linear,0.5,50,256,4099,0.681,0.929,0.681,0.929,514479530e174ea7afd73120664307a6
resnet50_imagenet,finetune,linear,0.5,50,256,4099,0.684,0.922,0.684,0.922,9dc50140744f406a86b773fecd8bfe0f
vits16_gastronet,finetune,linear,0.5,50,256,4099,0.727,0.942,0.727,0.942,e80906769ea24bc79da5b9a791058281
resnet50_200K,finetune,linear,0.5,50,256,4099,0.706,0.93,0.706,0.93,80bd6b5042874ae0988182b651d5fa5b
resnet50_1M,finetune,linear,0.5,50,256,4099,0.691,0.925,0.691,0.925,ca6747205f7f48b0a8407527d48c2f71
resnet50_5M,finetune,linear,0.5,50,256,4099,0.715,0.933,0.715,0.933,7d3f882de76749cfa4340e5eb9f1802e
efficientnetb0,finetune,linear,0.5,50,364,4099,0.675,0.915,0.675,0.915,e696b074038c45858b6813564f10a69a
vits16_imagenet,finetune,linear,0.5,50,364,4099,0.681,0.926,0.681,0.926,23a5d7c13ba548b39e7eae64131a7147
resnet50_imagenet,finetune,linear,0.5,50,364,4099,0.677,0.919,0.677,0.919,d29a112a6966404bbafd89d2fc930034
vits16_gastronet,finetune,linear,0.5,50,364,4099,0.729,0.939,0.729,0.939,6234a8587b894b22aae792c81ddbc35d
resnet50_200K,finetune,linear,0.5,50,364,4099,0.702,0.929,0.702,0.929,320ce99401fb41398da73a4da6aa0da6
resnet50_1M,finetune,linear,0.5,50,364,4099,0.703,0.927,0.703,0.927,9f05813726ae45b6a3a70abac3e3713a
resnet50_5M,finetune,linear,0.5,50,364,4099,0.712,0.933,0.712,0.933,38f27c76871743c9b903e6627e688600
efficientnetb0,finetune,linear,0.5,50,420,4099,0.671,0.919,0.671,0.919,3c432d32f2a64b8a821f67f5a70a0d78
vits16_imagenet,finetune,linear,0.5,50,420,4099,0.686,0.93,0.686,0.93,a14842ce133f4b17836ea36d5cf2247c
resnet50_imagenet,finetune,linear,0.5,50,420,4099,0.686,0.919,0.686,0.919,b94d94559c6b4b47a7f4588bbef38c77
vits16_gastronet,finetune,linear,0.5,50,420,4099,0.731,0.941,0.731,0.941,6a1018c1a463494e9f0baae248546896
resnet50_200K,finetune,linear,0.5,50,420,4099,0.705,0.927,0.705,0.927,d9835dc36e204b95bf4d026859d30337
