model,freeze,head_type,subset_ratio,pct_data,seed,n_train,f1,auroc,clip_f1,clip_auroc,micro_f1,macro_f1,clin_sensitivity,clin_specificity,clin_f1,checkpoint_dir,sens_mayo0,sens_mayo1,sens_mayo2,sens_mayo3,spec_mayo0,spec_mayo1,spec_mayo2,spec_mayo3
resnet50_200K,finetune,linear,0.1,10,84,1076,0.252,0.5,0.353,0.684,0.3650145772594752,0.252126571686204,0.5813084112149532,0.5627118644067797,0.4566813509544787,output/mes/models/resnet50_200K/0/linear/20260606_043442,0.5084388185654009,0.05603448275862069,0.037162162162162164,0.502092050209205,0.7705345501955672,0.8536749831422792,0.7928118393234672,0.7276422764227642
resnet50_1M,finetune,linear,0.1,10,84,1076,0.267,0.576,0.464,0.699,0.3510204081632653,0.2667765773568843,0.788785046728972,0.43559322033898307,0.5200246457178065,output/mes/models/resnet50_1M/0/linear/20260606_043539,0.4029535864978903,0.06896551724137931,0.09121621621621621,0.7405857740585774,0.9152542372881356,0.8894133513149022,0.7850599013389711,0.6077235772357723
efficientnetb0,finetune,linear,0.1,10,128,889,0.283,0.645,0.258,0.706,0.282798833819242,0.28370012343751194,0.5588785046728972,0.5635593220338984,0.44329132690882134,output/mes/models/efficientnetb0/0/linear/20260606_044353,0.1339662447257384,0.6896551724137931,0.1858108108108108,0.5983263598326359,0.8761408083441982,0.6500337154416723,0.8202959830866807,0.755420054200542
resnet50_5M,finetune,linear,0.1,10,84,1076,0.319,0.58,0.426,0.714,0.43790087463556854,0.3192854642100816,0.6691588785046729,0.6016949152542372,0.5253118121790169,output/mes/models/resnet50_5M/0/linear/20260606_044247,0.5727848101265823,0.13793103448275862,0.08783783783783784,0.6276150627615062,0.8604954367666232,0.8617666891436278,0.8456659619450317,0.7066395663956639
vits16_imagenet,finetune,linear,0.1,10,128,889,0.242,0.56,0.405,0.657,0.2862973760932945,0.2421608586115776,0.6186915887850467,0.5491525423728814,0.47353361945636624,output/mes/models/vits16_imagenet/0/linear/20260606_044838,0.2732067510548523,0.29310344827586204,0.060810810810810814,0.6108786610878661,0.771838331160365,0.7639919082939987,0.923185341789993,0.6002710027100271
resnet50_imagenet,finetune,linear,0.1,10,128,889,0.264,0.665,0.289,0.775,0.3160349854227405,0.26398819169997945,0.6224299065420561,0.6042372881355932,0.49887640449438203,output/mes/models/resnet50_imagenet/0/linear/20260606_045135,0.17405063291139242,0.7543103448275862,0.0,0.8451882845188284,0.8800521512385919,0.6743088334457181,1.0,0.5948509485094851
vits16_gastronet,finetune,linear,0.1,10,128,889,0.409,0.724,0.471,0.734,0.5428571428571428,0.4091682200931223,0.7158878504672898,0.7449152542372881,0.6283839212469237,output/mes/models/vits16_gastronet/0/linear/20260606_045344,0.6592827004219409,0.4482758620689655,0.0,0.8451882845188284,0.7079530638852672,0.947403910991234,0.9985905567300916,0.6747967479674797
resnet50_200K,finetune,linear,0.1,10,128,889,0.359,0.65,0.338,0.763,0.42973760932944605,0.35865319685653596,0.8373831775700935,0.6711864406779661,0.6535375638220278,output/mes/models/resnet50_200K/0/linear/20260606_045755,0.38396624472573837,0.7155172413793104,0.0033783783783783786,0.8619246861924686,0.833116036505867,0.8509777478084963,0.9950669485553206,0.5785907859078591
resnet50_1M,finetune,linear,0.1,10,128,889,0.36,0.715,0.344,0.82,0.5037900874635568,0.3597184685355385,0.7869158878504673,0.7127118644067797,0.6501930501930502,output/mes/models/resnet50_1M/0/linear/20260606_050023,0.6286919831223629,0.28448275862068967,0.0,0.8451882845188284,0.7196870925684485,0.947403910991234,0.9901338971106413,0.6314363143631436
resnet50_5M,finetune,linear,0.1,10,128,889,0.326,0.725,0.304,0.852,0.446064139941691,0.32597330874432096,0.805607476635514,0.5745762711864407,0.5871934604904632,output/mes/models/resnet50_5M/0/linear/20260606_050549,0.5210970464135021,0.2413793103448276,0.0033783783783783786,0.895397489539749,0.8305084745762712,0.9312204989885368,0.9633544749823819,0.5487804878048781
