model,freeze,head_type,pct_data,subset_ratio,f1_mean,f1_std,auroc_mean,auroc_std,tuned_threshold_mean,tuned_threshold_std,tuned_sensitivity_mean,tuned_sensitivity_std,tuned_specificity_mean,tuned_specificity_std,tuned_f1_mean,tuned_f1_std,clip_f1_mean,clip_f1_std,clip_auroc_mean,clip_auroc_std,n_train,best_checkpoint_dir,best_seed,best_seed_auroc
resnet50_200K,finetune,linear,10,0.1,0.47633333333333333,0.12205681737070923,0.8145000000000001,0.06650338337257738,0.17500000000000002,0.10329569206893384,0.87117903930131,0.1267052973455784,0.552521805081532,0.2542988291165023,0.5014479742950159,0.07971726470214406,0.4699074074074074,0.19773732940527244,0.8125,0.049349550012332946,290,output/ulcer/models/resnet50_200K/0/linear/20260605_184722,420,0.905
resnet50_200K,finetune,linear,25,0.25,0.5726666666666667,0.10979010277191054,0.8370000000000001,0.056639209034025216,0.16666666666666666,0.15845083359410472,0.7838427947598253,0.11964587374503288,0.7474402730375426,0.05955932919534527,0.5697315546754717,0.07237554650360488,0.6315591815591816,0.04947635449981994,0.8153935185185185,0.054918950991288365,686,output/ulcer/models/resnet50_200K/0/linear/20260605_204311,420,0.921
resnet50_200K,finetune,linear,50,0.5,0.617,0.07810505745468725,0.8673333333333333,0.035719275841857,0.355,0.22897598127314578,0.7132459970887918,0.14657578893943643,0.8158892681076981,0.07278304629610506,0.5880941991399936,0.05901365935065215,0.6893939393939394,0.0788752429383053,0.8570601851851851,0.04033859552704643,1375,output/ulcer/models/resnet50_200K/0/linear/20260605_212424,84,0.934
resnet50_200K,finetune,linear,75,0.75,0.6043333333333333,0.059257629607221626,0.8723333333333333,0.01745470328211475,0.2866666666666667,0.2094437076320668,0.7503639010189228,0.11442103576984673,0.8009101251422072,0.05058670890931871,0.5958119065175337,0.04452167711939543,0.642018006148441,0.06546791048699452,0.8501157407407408,0.020881502954477667,2098,output/ulcer/models/resnet50_200K/0/linear/20260605_235353,128,0.892
resnet50_200K,finetune,linear,100,1.0,0.6046666666666667,0.025398162663205933,0.8821666666666667,0.009724539406402086,0.22166666666666668,0.11940128419186564,0.7314410480349345,0.01060695004497039,0.801668562760713,0.008161578188738524,0.5869291049405829,0.010919214333054553,0.6611769872639438,0.029169575648715095,0.8645833333333334,0.02094875434583108,2812,output/ulcer/models/resnet50_200K/0/linear/20260606_030701,364,0.896
resnet50_5M,finetune,linear,10,0.1,0.4928333333333333,0.05609070035814018,0.7996666666666666,0.03351218683802455,0.17666666666666667,0.07312090444371341,0.7874818049490538,0.08389130086440937,0.6577550246492226,0.11151451217083837,0.5129153332235098,0.04613225249968426,0.4990861638324285,0.15491782098052062,0.7818287037037037,0.042036361452394776,290,output/ulcer/models/resnet50_5M/0/linear/20260605_185237,420,0.831
resnet50_5M,finetune,linear,25,0.25,0.5008333333333334,0.17694000866583756,0.8253333333333334,0.053004402332888015,0.29833333333333334,0.15354695264532825,0.6855895196506551,0.07410726091038052,0.7827076222980659,0.07005229731364708,0.5480368791087971,0.07284608006289099,0.521687370600414,0.26328491538881627,0.8142361111111112,0.04933733326502051,686,output/ulcer/models/resnet50_5M/0/linear/20260605_193221,84,0.892
resnet50_5M,finetune,linear,50,0.5,0.5656666666666667,0.06532278826463754,0.8489999999999999,0.021981810662454564,0.25666666666666665,0.21528275979898315,0.7372634643377002,0.11243728860844414,0.7631778536215396,0.10941017987954593,0.563099567238832,0.05242999068959633,0.6512227538543328,0.06355300001637627,0.8443287037037037,0.02133839940329757,1375,output/ulcer/models/resnet50_5M/0/linear/20260605_213147,84,0.888
resnet50_5M,finetune,linear,75,0.75,0.5893333333333334,0.05287595546812053,0.8610000000000001,0.03241604540964242,0.31666666666666665,0.19325285681372645,0.7219796215429404,0.08926544658050652,0.8189230185817217,0.040932977343927646,0.5975679895821496,0.05898301129940289,0.6380375180375181,0.09690329616907067,0.8483796296296297,0.037116523501971824,2098,output/ulcer/models/resnet50_5M/0/linear/20260606_004432,364,0.894
resnet50_5M,finetune,linear,100,1.0,0.6246666666666667,0.025633311660155596,0.8811666666666667,0.012073386710723185,0.3066666666666667,0.27688746209726917,0.7867540029112082,0.14312000848702341,0.7682973075464542,0.09412116116872735,0.5883685973817155,0.032803084773667134,0.7034343434343434,0.028619069118909792,0.8709490740740741,0.01343290846523533,2812,output/ulcer/models/resnet50_5M/0/linear/20260606_015905,84,0.899
